FILE	ID	CHR	P0	P1	BLOCK	Z	P	RESID.Z	PIP	IN.CRED.SET	TRAIT
INTERCEPT	INTERCEPT.1:38731847..40200567	1	0	0	1:38731847..40200567	-5.88253951326351	4.04018841631251e-09	0	0	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Testis/GTEx.Testis.ENSG00000116985.6.BMP8B.wgt.RDat	BMP8B	1	40200000	40200000	1:38731847..40200567	-1.23843	0.216	-0.657870428566746	0.000161231006029029	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Muscle_Skeletal/GTEx.Muscle_Skeletal.ENSG00000228436.2.RP5-864K19.4.wgt.RDat	RP5-864K19.4	1	39300000	39300000	1:38731847..40200567	0.5915	0.554153	0.645815103958412	0.000167465128294843	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000084072.12.PPIE.wgt.RDat	PPIE	1	40200000	40200000	1:38731847..40200567	-0.342533	0.732	-0.824071794023239	0.000177175698265186	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Esophagus_Mucosa/GTEx.Esophagus_Mucosa.ENSG00000158315.6.RHBDL2.wgt.RDat	RHBDL2	1	39400000	39400000	1:38731847..40200567	0.59134	0.554	0.925861074752523	0.00018482870543757	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/CMC.BRAIN.RNASEQ/CMC.NT5C1A.wgt.RDat	NT5C1A	1	40100000	40100000	1:38731847..40200567	0.22923	0.819	-0.893346567418372	0.000202249686168508	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Artery_Tibial/GTEx.Artery_Tibial.ENSG00000228060.1.RP11-69E11.8.wgt.RDat	RP11-69E11.8	1	4e+07	4e+07	1:38731847..40200567	5.81025	6.24e-09	0.835932601559774	0.0002083030767006	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.MACF1.wgt.RDat	MACF1	1	39500000	39500000	1:38731847..40200567	-3.54854	0.000387	0.574951459572501	0.00022408264672521	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/GTEx.Adipose_Subcutaneous/GTEx.Adipose_Subcutaneous.ENSG00000183682.7.BMP8A.wgt.RDat	BMP8A	1	4e+07	4e+07	1:38731847..40200567	-3.843	0.000122	-0.376517752360447	0.000233245352468272	FALSE	HDL
/u/home/n/nmancuso/pasaniucdata/DATA/FUSION/WEIGHTS/METSIM.ADIPOSE.RNASEQ/METSIM.HEYL.wgt.RDat	HEYL	1	40100000	40100000	1:38731847..40200567	3.55119	0.000383	1.49282705381839	0.000370111814268974	FALSE	HDL
